CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.8281463414634
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,52.4421463414634
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.4512195121951
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.8410487804878
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.9636829268293
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,77.4192195121951
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.4491707317073
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.7991707317073
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.2838536585366
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,68.1315609756097
Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.8487804878049
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.3731707317073
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,78.7111951219512
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,78.4184878048781
Romania,ROM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.4634146341463
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.0731707317073
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.3948292682927
Samoa,WSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.2503902439024
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,66.259512195122
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.1776341463415
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.878756097561
Serbia,SRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.1365853658537
Seychelles,SYC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.2268292682927
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,50.3631219512195
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.3463414634146
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.2609756097561
Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.2780487804878
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.7189268292683
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,55.0230243902439
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,56.7365853658537
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,55.2209024390244
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.4268292682927
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.2402926829268
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.9127073170732
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.1707317073171
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.8108780487805
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.1670487804878
Suriname,SUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.99
Swaziland,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,48.9379268292683
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.7048780487805
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.7487804878049
